Mouse_ID,ASP,SYP,MM,TM,,total IgG(ng/ml),IgG1(ng/ml),IgG2a(ng/ml),total IgE(ng/ml),MCPT-1(pg/ml),IL-4 (pg/ml),IL-5 (pg/ml),IL-10 (pg/ml),IL-13 (pg/ml),IFN-g (pg/ml),% eosinophils spleen,% CD8+ spleen,% CD4+ spleen,% Foxp3+ in CD4+ (Treg) spleen,% T-bet+ in CD4+Foxp3- (Th1) spleen,% Th1 poliferation spleen,% GATA-3+ in CD4+Foxp3- (Th2) spleen,% IL-13+ in CD4+ spleen,% IFN-g+ in CD4+ spleen,% IL-10+ in CD4+ spleen,% IL-10+ in non-Tcells spleen,%IFN-g+ in IL-10+ spleen,%IFN-g+IL-10+ in CD4+ spleen,%IFN-g-IL-10+ in CD4+ spleen,%Ki-67 in Foxp3+ spleen,%Ki-67 in T-bet+ spleen,%Ki-67 in GATA-3+ spleen,CD4+ proliferation (=Ki67+) spleen,CD8+ prol. (=Ki67+) spleen,CD4-CD8- proliferation (=Ki67+) spleen,% CD8+ mLN,% CD4+ mLN,% Foxp3+ in CD4+ (Treg) mLN,% T-bet+ in CD4+Foxp3- (Th1) mLN,% GATA-3+ in CD4+Foxp3- (Th2) mLN,% IL-13+ in CD4+ mLN,% IFN-g+ in CD4+ mLN,% IL-10+ in CD4+ mLN,%IFN-g+ in IL-10+ mLN,%IFN-g+IL-10+ in CD4+ mLN,%IFN-g-IL-10+ in CD4+ mLN,%Ki-67 in Foxp3+ mLN,%Ki-67 in T-bet+ mLN,%Ki-67 in GATA-3+ mLN,CD4+ prol histo mLN,CD8+ prol histo mLN,CD4-CD8- prol histo mLN
AA_0711,0,0,0,0,,1162000,6079775,234100,5661,1405.9,,,,,,0.5,9.57,43.8,3.107,2.863,29.1,3.583,,,,,,,,19,29.1,9.6,4.7,6.2,9.4,14.58,58.94,4.94,1.45,3.87,0.14,1.04,0.38,0,0,0.38,15.1,14.4,18.9,4.1,4,5.7
AA_0712,0,0,0,3,,,,,,,,,,,,4.8,10.29,28.66,8.674,5.148,50.9,3.131,3.4,12.4,8.2,1.7,60.97560976,5,3.2,18.6,50.9,40,13.3,8.2,29.3,20.22,61.7,2.61,0.64,3.44,0.42,0.68,0.73,28.76712329,0.21,0.52,18.2,42.2,14,4.5,5.7,8.2
AA_0713,0,0,0,0,,,,,,,,,,,,0.7,3.09,5.33,16.757,1.523,69.2,5.985,,,,,,,,32.7,69.2,53.1,22,27.9,14.8,15.87,35.01,7.4,1.03,5.92,0.64,0.11,0.34,0,0,0.34,20.3,34.7,33.6,9.4,12.1,6.7
AA_0714,0,68,0,0,,,,,,,,,,,,4,11.02,41.54,10.319,4.312,21.4,1.831,0.3,6.1,2.1,0.4,42.85714286,0.9,1.2,16.6,21.4,46.9,7.5,5.7,18,19.17,52.11,5.23,1.18,0.48,0.04,0.36,0.06,0,0,0.06,13.6,23.2,46.6,4.4,4,4.1
AA_0715,0,0,0,0,,1816700,18404225,527610,24032,194497.725,,,,,,2.9,14.29,40.77,6.014,3.869,38.9,0.796,0.5,7.2,1.4,0.5,78.57142857,1.1,0.3,19.6,38.9,30.9,7.1,3,13.9,26.63,48.15,5.01,3.25,1.58,0.16,1.84,0.78,21.79487179,0.17,0.61,20.6,51.8,46.2,6.8,4.5,10.4
AA_0716,0,0,0,0,,,,,,,,,,,,2,4.61,20.01,8.255,2.159,40,3.496,,,,,,,,26.5,40,23.2,13.1,11.6,27.9,9.39,44.2,5.15,1.49,1.63,,,,,,,15.4,16.7,,7,11.5,4.4
AA_0717,0,0,7,0,,,,,,,,,,,,3.9,5.24*,12.3*,10.775,1.249,14.4,3.333,1.5,12.6,2.8,0.8,35.71428571,1,1.8,18.5,14.4,18.3,,,,17.06,58.47,6.86,1.45,2.14,0.23,0.76,1.71,2.339181287,0.04,1.67,17.1,41.1,25.2,,,
AA_0718,0,0,0,0,,,,,,,,,,,,1,12.79,25.66,7.078,1.528,26.2,2.463,0.4,3.5,0.9,0.4,33.33333333,0.3,0.6,19.2,26.2,28,8.9,7.8,10.2,18.36,48.47,6.96,1.1,2.61,0.11,0.6,0.28,21.42857143,0.06,0.22,15.6,44,36.8,6.2,7.8,18.2
AA_0719,0,0,0,0,,66500,829040,1130,4169,0,,,,,,0.6,6.53,13.57,11.963,0.664,25,1.807,,,,,,,,16.1,25,28,11.5,9.3,13.3,14.52,50.53,9.52,0.72,1.17,,,,,,,17.1,31.3,43.8,8.7,12.2,6.2
AA_0720,0,0,0,0,,,,,,,,,,,,0.7,4.38,10.71,10.107,1.257,35.6,6.497,,,,,,,,36.5,35.6,41,22.3,27.8,15.1,22.56,48,5.04,1.09,2.9,,,,,,,34.7,74.3,61.5,11.6,23.9,4.8
AA_0721,0,0,0,0,,1792000,2705360,222200,7751.5,0,,,,,,1.6,3.04,7.73,12.492,3.542,12.5,8.586,0.4,2.3,0.5,0.1,0,0,0.5,9.6,12.5,7.2,6.9,22.5,5.7,13.93,27.39,9,1.57,3.62,,,,,,,28.1,47.7,31.5,10,7.9,7.4
AA_0722,0,93,0,0,,3343800,12761400,330050,7262.5,0,,,,,,1,11.43,23.2,8.828,10.701,30.6,3.404,0.6,10.2,3.4,0.5,17.64705882,0.6,2.8,16.8,30.6,22.7,11.3,9.1,16,17.73,39.47,5.72,3.4,2.8,0.3,0.64,0.61,16.39344262,0.1,0.51,15.9,33.4,28,5,6.8,11.3
AA_0723,0,19,0,0,,,,,,,,,,,,0.5,11.16,22.44,6.131,8.479,38.9,4.105,0.6,9.5,1.2,0.4,33.33333333,0.4,0.8,17.6,38.9,35,12,8.3,10.2,20.27,49.37,4.98,2.24,3.14,0.05,0.23,0.55,3.636363636,0.02,0.53,14.1,44.5,28,4.4,6.5,5.1
AA_0724,0,0,4,0,,,,,,,,,,,,2.7,9.23*,39.37*,9.182,0.912,36,3.299,0.8,8.7,1.6,0.9,37.5,0.6,1,19.4,36,38.7,,,,15.25,68.92,4.34,0.74,3.12,,,,,,,12,27.3,8.8,,,
AA_0725,0,5,0,0,,91100,526170,0,6631.5,0,,,,,,0.7,6.69,15.1,11.035,0.739,43.5,4.047,,,,,,,,21.4,43.5,58.9,10.8,6,28.5,12.14,36.13,9.08,0.91,3.99,,,,,,,13.2,32.8,18,8,6.6,5.9
AA_0726,0,0,0,0,,,53025,,,0,,,,,,1,10.26,43.95,4.499,1.317,17.2,3.7,,,,,,,,14,17.2,24.4,4.3,3.9,12.6,10.38,65.37,6.81,0.74,2.46,,,,,,,6.8,24.1,23.4,2.8,4.4,5.3
AA_0727,0,178,0,0,,,,,,,,,,,,1.5,12.34,22.89,9.224,3.636,18.6,6.656,1.1,5.1,1,0.2,40,0.4,0.6,17.8,18.6,18.3,7.9,6.6,13.6,21.78,60.47,5.9,0.5,3.53,0.13,0.15,0.69,7.246376812,0.05,0.64,12.6,28.6,12,4,4.8,13
